application_domain,task_type,QA_list,time_series_raw,question_text,time_series_norm,statistical_features,model_response
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.08, -0.06, -0.06, -0.03, -0.02, -0.01, -0.02, -0.01, 0.0, -0.01, 0.0, -0.01, 0.0, 0.01, -0.02, 0.0, 0.0, 0.0, 0.0, -0.02, -0.03, -0.05, -0.06, -0.05, -0.09, -0.06, -0.09, -0.07, -0.06, -0.05, -0.03, 0.01, 0.01, 0.01, 0.05, 0.04, 0.05, 0.04, 0.05, 0.04, 0.04, 0.04, 0.03, 0.02, 0.03, 0.04, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, -0.01, -0.02, 0.0, -0.02, -0.01, -0.02, -0.01, -0.02, -0.02, -0.03]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[-0.08, -0.06, -0.06, -0.03, -0.02, -0.01, -0.02, -0.01, 0.0, -0.01, 0.0, -0.01, 0.0, 0.01, -0.02, 0.0, 0.0, 0.0, 0.0, -0.02, -0.03, -0.05, -0.06, -0.05, -0.09, -0.06, -0.09, -0.07, -0.06, -0.05, -0.03, 0.01, 0.01, 0.01, 0.05, 0.04, 0.05, 0.04, 0.05, 0.04, 0.04, 0.04, 0.03, 0.02, 0.03, 0.04, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, -0.01, -0.02, 0.0, -0.02, -0.01, -0.02, -0.01, -0.02, -0.02, -0.03]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-2.055473, -1.478498, -1.478498, -0.613036, -0.324548, -0.036061, -0.324548, -0.036061, 0.252426, -0.036061, 0.252426, -0.036061, 0.252426, 0.540914, -0.324548, 0.252426, 0.252426, 0.252426, 0.252426, -0.324548, -0.613036, -1.19001, -1.478498, -1.19001, -2.34396, -1.478498, -2.34396, -1.766985, -1.478498, -1.19001, -0.613036, 0.540914, 0.540914, 0.540914, 1.694863, 1.406376, 1.694863, 1.406376, 1.694863, 1.406376, 1.406376, 1.406376, 1.117889, 0.829401, 1.117889, 1.406376, 0.829401, 0.829401, 0.540914, 0.540914, 0.540914, 0.540914, 0.252426, 0.252426, -0.036061, -0.324548, 0.252426, -0.324548, -0.036061, -0.324548, -0.036061, -0.324548, -0.324548, -0.613036]","{'mean': -0.00875, 'std': 0.034664, 'min': -0.09, 'max': 0.05, 'median': -0.005}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-2.0, -1.9, -2.13, -1.9, -1.84, -1.9, -1.76, -1.7, -1.67, -1.76, -1.86, -1.66, -1.54, -1.56, -1.54, -1.6]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[-2.0, -1.9, -2.13, -1.9, -1.84, -1.9, -1.76, -1.7, -1.67, -1.76, -1.86, -1.66, -1.54, -1.56, -1.54, -1.6]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-1.368115, -0.773282, -2.141397, -0.773282, -0.416383, -0.773282, 0.059483, 0.416383, 0.594833, 0.059483, -0.535349, 0.654316, 1.368115, 1.249148, 1.368115, 1.011215]","{'mean': -1.77, 'std': 0.168115, 'min': -2.13, 'max': -1.54, 'median': -1.76}","Based on the given information, this time series includes Normal Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-3.32, -2.94, -2.94, -3.2, -3.3, -3.25, -3.34, -3.29, -3.22, -3.45, -3.53, -3.48, -3.56, -3.52, -3.34, -3.4]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[-3.32, -2.94, -2.94, -3.2, -3.3, -3.25, -3.34, -3.29, -3.22, -3.45, -3.53, -3.48, -3.56, -3.52, -3.34, -3.4]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.013993, 2.112973, 2.112973, 0.65768, 0.097952, 0.377816, -0.125939, 0.153925, 0.545735, -0.74164, -1.189422, -0.909558, -1.35734, -1.133449, -0.125939, -0.461776]","{'mean': -3.3175, 'std': 0.178658, 'min': -3.56, 'max': -2.94, 'median': -3.33}","Based on the given information, this time series includes Normal Point."
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.0, 0.01, 0.01, 0.01, 0.01, 0.03, 0.02, 0.02, 0.02, 0.03, 0.02, 0.01, 0.01, 0.03, 0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, -0.01, -0.01, 0.0, -0.01, -0.01, 0.0, 0.0, -0.01, -0.02, -0.01, -0.01, -0.01, -0.01, 0.0, -0.01, -0.02, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.0, 0.01, 0.02, 0.01, 0.01, 0.02, 0.0, 0.03, 0.03, 0.04, 0.05, 0.04, 0.05, 0.03, -0.04, -0.06, -0.06, -0.03, -0.01, -0.03]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[0.0, 0.01, 0.01, 0.01, 0.01, 0.03, 0.02, 0.02, 0.02, 0.03, 0.02, 0.01, 0.01, 0.03, 0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, -0.01, -0.01, 0.0, -0.01, -0.01, 0.0, 0.0, -0.01, -0.02, -0.01, -0.01, -0.01, -0.01, 0.0, -0.01, -0.02, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.0, 0.01, 0.02, 0.01, 0.01, 0.02, 0.0, 0.03, 0.03, 0.04, 0.05, 0.04, 0.05, 0.03, -0.04, -0.06, -0.06, -0.03, -0.01, -0.03]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.217254, 0.246222, 0.246222, 0.246222, 0.246222, 1.173174, 0.709698, 0.709698, 0.709698, 1.173174, 0.709698, 0.246222, 0.246222, 1.173174, 0.709698, -0.217254, 0.709698, -0.217254, -0.217254, -0.217254, -0.217254, 0.246222, -0.680731, -0.680731, -0.217254, -0.680731, -0.680731, -0.217254, -0.217254, -0.680731, -1.144207, -0.680731, -0.680731, -0.680731, -0.680731, -0.217254, -0.680731, -1.144207, -0.217254, -0.217254, -0.217254, 0.246222, 0.709698, 0.709698, -0.217254, 0.246222, 0.709698, 0.246222, 0.246222, 0.709698, -0.217254, 1.173174, 1.173174, 1.63665, 2.100126, 1.63665, 2.100126, 1.173174, -2.071159, -2.998111, -2.998111, -1.607683, -0.680731, -1.607683]","{'mean': 0.004687, 'std': 0.021576, 'min': -0.06, 'max': 0.05, 'median': 0.0}","Based on the given information, this time series includes Normal Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [4.72, 4.75, 4.65, 4.59, 4.58, 4.56, 4.54, 4.54, 4.54, 4.48, 4.43, 4.38, 4.38, 4.42, 4.4, 4.32]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[4.72, 4.75, 4.65, 4.59, 4.58, 4.56, 4.54, 4.54, 4.54, 4.48, 4.43, 4.38, 4.38, 4.42, 4.4, 4.32]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[1.673397, 1.921307, 1.094938, 0.599117, 0.51648, 0.351207, 0.185933, 0.185933, 0.185933, -0.309888, -0.723073, -1.136257, -1.136257, -0.805709, -0.970983, -1.632078]","{'mean': 4.5175, 'std': 0.121011, 'min': 4.32, 'max': 4.75, 'median': 4.54}","Based on the given information, this time series includes Normal Point."
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [6238.99415681562, 6649.93985684278, 6322.824363494239, 6086.4747867665, 6330.457437971551, 5980.30305611421, 5969.197108122011, 5943.46973282558]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[6238.99415681562, 6649.93985684278, 6322.824363494239, 6086.4747867665, 6330.457437971551, 5980.30305611421, 5969.197108122011, 5943.46973282558]","This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.214063, 2.017183, 0.581887, -0.455152, 0.615379, -0.921005, -0.969735, -1.08262]","{'mean': 6190.207562, 'std': 227.908075, 'min': 5943.469733, 'max': 6649.939857, 'median': 6162.734472}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [7.64, 6.92, 6.9, 6.7, 6.84, 7.18, 7.3, 7.94, 8.21, 8.24, 8.28, 8.38, 8.7, 8.97, 9.01, 9.28]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[7.64, 6.92, 6.9, 6.7, 6.84, 7.18, 7.3, 7.94, 8.21, 8.24, 8.28, 8.38, 8.7, 8.97, 9.01, 9.28]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.320662, -1.189845, -1.213989, -1.455429, -1.286421, -0.875973, -0.73111, 0.041497, 0.367441, 0.403657, 0.451945, 0.572665, 0.958968, 1.284912, 1.3332, 1.659144]","{'mean': 7.905625, 'std': 0.828364, 'min': 6.7, 'max': 9.28, 'median': 8.075}","Based on the given information, this time series includes Normal Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [2.48, 2.48, 2.34, 2.02, 1.82, 1.62, 1.58, 1.76, 1.54, 1.5, 1.44, 1.36, 1.33, 1.24, 1.24, 1.2]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[2.48, 2.48, 2.34, 2.02, 1.82, 1.62, 1.58, 1.76, 1.54, 1.5, 1.44, 1.36, 1.33, 1.24, 1.24, 1.2]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[1.89428, 1.89428, 1.560958, 0.79908, 0.322906, -0.153269, -0.248503, 0.180053, -0.343738, -0.438973, -0.581825, -0.772295, -0.843721, -1.057999, -1.057999, -1.153234]","{'mean': 1.684375, 'std': 0.420014, 'min': 1.2, 'max': 2.48, 'median': 1.56}","Based on the given information, this time series includes Normal Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [40.73, 39.28, 41.27, 39.07, 40.3, 38.86, 40.95, 39.23, 40.73, 39.77, 40.53, 40.14, 43.4, 39.81, 41.89, 39.8]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[40.73, 39.28, 41.27, 39.07, 40.3, 38.86, 40.95, 39.23, 40.73, 39.77, 40.53, 40.14, 43.4, 39.81, 41.89, 39.8]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.327397, -0.955645, 0.805219, -1.141464, -0.053091, -1.327284, 0.522065, -0.999887, 0.327397, -0.522065, 0.150426, -0.194668, 2.689963, -0.486671, 1.35383, -0.495519]","{'mean': 40.36, 'std': 1.130127, 'min': 38.86, 'max': 43.4, 'median': 40.22}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [3.12, 2.85, 3.18, 3.28, 3.19, 3.32, 3.4, 3.28, 3.45, 3.24, 3.31, 3.16, 3.11, 3.08, 2.89, 2.74]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[3.12, 2.85, 3.18, 3.28, 3.19, 3.32, 3.4, 3.28, 3.45, 3.24, 3.31, 3.16, 3.11, 3.08, 2.89, 2.74]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.222818, -1.638367, 0.091749, 0.616026, 0.144176, 0.825737, 1.245159, 0.616026, 1.507298, 0.406315, 0.773309, -0.013107, -0.275246, -0.432529, -1.428656, -2.215072]","{'mean': 3.1625, 'std': 0.190739, 'min': 2.74, 'max': 3.45, 'median': 3.185}","Based on the given information, this time series includes Normal Point."
