application_domain,task_type,QA_list,model_response
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.08, -0.06, -0.06, -0.03, -0.02, -0.01, -0.02, -0.01, 0.0, -0.01, 0.0, -0.01, 0.0, 0.01, -0.02, 0.0, 0.0, 0.0, 0.0, -0.02, -0.03, -0.05, -0.06, -0.05, -0.09, -0.06, -0.09, -0.07, -0.06, -0.05, -0.03, 0.01, 0.01, 0.01, 0.05, 0.04, 0.05, 0.04, 0.05, 0.04, 0.04, 0.04, 0.03, 0.02, 0.03, 0.04, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, -0.01, -0.02, 0.0, -0.02, -0.01, -0.02, -0.01, -0.02, -0.02, -0.03]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-2.0, -1.9, -2.13, -1.9, -1.84, -1.9, -1.76, -1.7, -1.67, -1.76, -1.86, -1.66, -1.54, -1.56, -1.54, -1.6]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Anomaly</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-3.32, -2.94, -2.94, -3.2, -3.3, -3.25, -3.34, -3.29, -3.22, -3.45, -3.53, -3.48, -3.56, -3.52, -3.34, -3.4]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.0, 0.01, 0.01, 0.01, 0.01, 0.03, 0.02, 0.02, 0.02, 0.03, 0.02, 0.01, 0.01, 0.03, 0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, -0.01, -0.01, 0.0, -0.01, -0.01, 0.0, 0.0, -0.01, -0.02, -0.01, -0.01, -0.01, -0.01, 0.0, -0.01, -0.02, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.0, 0.01, 0.02, 0.01, 0.01, 0.02, 0.0, 0.03, 0.03, 0.04, 0.05, 0.04, 0.05, 0.03, -0.04, -0.06, -0.06, -0.03, -0.01, -0.03]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [4.72, 4.75, 4.65, 4.59, 4.58, 4.56, 4.54, 4.54, 4.54, 4.48, 4.43, 4.38, 4.38, 4.42, 4.4, 4.32]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Normal</answer>
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [6238.99415681562, 6649.93985684278, 6322.824363494239, 6086.4747867665, 6330.457437971551, 5980.30305611421, 5969.197108122011, 5943.46973282558]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [7.64, 6.92, 6.9, 6.7, 6.84, 7.18, 7.3, 7.94, 8.21, 8.24, 8.28, 8.38, 8.7, 8.97, 9.01, 9.28]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [2.48, 2.48, 2.34, 2.02, 1.82, 1.62, 1.58, 1.76, 1.54, 1.5, 1.44, 1.36, 1.33, 1.24, 1.24, 1.2]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Normal</answer>
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [40.73, 39.28, 41.27, 39.07, 40.3, 38.86, 40.95, 39.23, 40.73, 39.77, 40.53, 40.14, 43.4, 39.81, 41.89, 39.8]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [3.12, 2.85, 3.18, 3.28, 3.19, 3.32, 3.4, 3.28, 3.45, 3.24, 3.31, 3.16, 3.11, 3.08, 2.89, 2.74]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
